,日時,始値,高値,安値,終値,調整後終値,出来高(株)
33,2023/04/13,183.0,185.0,180.0,182.0,182.0,679800
34,2023/04/12,188.0,188.0,182.0,184.0,184.0,594500
35,2023/04/11,184.0,189.0,183.0,186.0,186.0,646900
36,2023/04/10,187.0,191.0,181.0,183.0,183.0,795500
37,2023/04/07,198.0,201.0,183.0,187.0,187.0,2021600
38,2023/04/06,201.0,201.0,197.0,198.0,198.0,959500
39,2023/04/05,206.0,207.0,202.0,202.0,202.0,703400
40,2023/04/04,206.0,208.0,203.0,208.0,208.0,532000
41,2023/04/03,205.0,215.0,204.0,205.0,205.0,763300
42,2023/03/31,207.0,209.0,203.0,204.0,204.0,330500
43,2023/03/30,205.0,208.0,204.0,207.0,207.0,554900
44,2023/03/29,202.0,208.0,202.0,203.0,203.0,775200
45,2023/03/28,212.0,213.0,204.0,205.0,205.0,1519900
46,2023/03/27,222.0,223.0,209.0,211.0,211.0,1625900
47,2023/03/24,225.0,226.0,222.0,223.0,223.0,559800
48,2023/03/23,227.0,229.0,224.0,228.0,228.0,381800
49,2023/03/22,231.0,234.0,227.0,231.0,231.0,793300
50,2023/03/20,214.0,239.0,214.0,224.0,224.0,1433800
51,2023/03/17,224.0,232.0,223.0,230.0,230.0,624400
52,2023/03/16,221.0,225.0,218.0,223.0,223.0,1137700
53,2023/03/15,230.0,235.0,225.0,226.0,226.0,615400
54,2023/03/14,231.0,233.0,226.0,226.0,226.0,956000
55,2023/03/13,240.0,241.0,227.0,233.0,233.0,2296100
56,2023/03/10,247.0,247.0,243.0,244.0,244.0,1009800
57,2023/03/09,253.0,255.0,248.0,248.0,248.0,815400
58,2023/03/08,253.0,256.0,251.0,252.0,252.0,419600
59,2023/03/07,249.0,263.0,249.0,254.0,254.0,1514500
60,2023/03/06,252.0,254.0,247.0,249.0,249.0,1342800
61,2023/03/03,265.0,270.0,251.0,253.0,253.0,6457700
62,2023/03/02,254.0,255.0,240.0,241.0,241.0,2190500
63,2023/03/01,260.0,263.0,245.0,254.0,254.0,2943600
64,2023/02/28,269.0,273.0,267.0,270.0,270.0,1021700
65,2023/02/27,282.0,284.0,265.0,265.0,265.0,2315200
66,2023/02/24,285.0,291.0,281.0,282.0,282.0,3309600
67,2023/02/22,302.0,303.0,300.0,301.0,301.0,826500
68,2023/02/21,304.0,305.0,303.0,303.0,303.0,477400
69,2023/02/20,305.0,307.0,302.0,305.0,305.0,653100
70,2023/02/17,305.0,307.0,303.0,305.0,305.0,1055100
71,2023/02/16,304.0,315.0,302.0,309.0,309.0,968000
72,2023/02/15,309.0,310.0,304.0,305.0,305.0,706300
73,2023/02/14,312.0,314.0,308.0,309.0,309.0,269200
74,2023/02/13,306.0,311.0,303.0,310.0,310.0,606700
75,2023/02/10,313.0,314.0,305.0,305.0,305.0,1381400
76,2023/02/09,313.0,318.0,313.0,318.0,318.0,368700
77,2023/02/08,316.0,318.0,313.0,316.0,316.0,298300
78,2023/02/07,321.0,324.0,316.0,316.0,316.0,389400
79,2023/02/06,316.0,323.0,314.0,319.0,319.0,802900
80,2023/02/03,314.0,316.0,310.0,313.0,313.0,526700
81,2023/02/02,319.0,320.0,313.0,314.0,314.0,532700
82,2023/02/01,315.0,322.0,315.0,319.0,319.0,490200
83,2023/01/31,315.0,322.0,314.0,316.0,316.0,538000
84,2023/01/30,320.0,322.0,313.0,313.0,313.0,1153700
85,2023/01/27,322.0,340.0,319.0,323.0,323.0,2093600
86,2023/01/26,333.0,335.0,318.0,324.0,324.0,1323800
87,2023/01/25,331.0,338.0,326.0,332.0,332.0,673600
88,2023/01/24,330.0,339.0,328.0,331.0,331.0,697000
89,2023/01/23,333.0,335.0,328.0,330.0,330.0,601500
90,2023/01/20,332.0,339.0,330.0,335.0,335.0,554400
91,2023/01/19,324.0,335.0,323.0,334.0,334.0,664900
92,2023/01/18,319.0,330.0,319.0,328.0,328.0,640000
93,2023/01/17,321.0,328.0,320.0,321.0,321.0,464600
94,2023/01/16,334.0,335.0,322.0,322.0,322.0,832600
95,2023/01/13,337.0,346.0,332.0,334.0,334.0,860500
96,2023/01/12,333.0,340.0,327.0,340.0,340.0,1368700
97,2023/01/11,331.0,335.0,325.0,333.0,333.0,1021500
98,2023/01/10,316.0,329.0,314.0,328.0,328.0,991500
99,2023/01/06,314.0,317.0,308.0,316.0,316.0,1017200
100,2023/01/05,312.0,319.0,312.0,319.0,319.0,1009500
101,2023/01/04,308.0,315.0,306.0,311.0,311.0,777000
102,2022/12/30,307.0,315.0,307.0,308.0,308.0,737600
103,2022/12/29,299.0,309.0,299.0,304.0,304.0,958900
104,2022/12/28,301.0,302.0,295.0,299.0,299.0,949000
105,2022/12/27,295.0,305.0,294.0,303.0,303.0,1319100
106,2022/12/26,300.0,300.0,291.0,294.0,294.0,2354500
107,2022/12/23,300.0,302.0,299.0,301.0,301.0,828500
108,2022/12/22,306.0,310.0,299.0,302.0,302.0,1148500
109,2022/12/21,301.0,307.0,299.0,302.0,302.0,1176500
110,2022/12/20,310.0,312.0,296.0,302.0,302.0,2940900
111,2022/12/19,330.0,331.0,307.0,308.0,308.0,3085900
112,2022/12/16,359.0,375.0,334.0,336.0,336.0,3516200
113,2022/12/15,341.0,374.0,340.0,360.0,360.0,5044300
114,2022/12/14,306.0,345.0,303.0,342.0,342.0,6401800
115,2022/12/13,307.0,311.0,306.0,310.0,310.0,1167700
116,2022/12/12,307.0,308.0,302.0,305.0,305.0,862500
117,2022/12/09,306.0,308.0,303.0,308.0,308.0,677400
118,2022/12/08,308.0,308.0,304.0,304.0,304.0,698700
119,2022/12/07,305.0,311.0,304.0,310.0,310.0,554900
120,2022/12/06,306.0,310.0,303.0,307.0,307.0,531400
121,2022/12/05,306.0,307.0,303.0,304.0,304.0,532600
122,2022/12/02,317.0,320.0,306.0,307.0,307.0,2157200
123,2022/12/01,306.0,308.0,302.0,304.0,304.0,444100
124,2022/11/30,309.0,309.0,302.0,302.0,302.0,567900
125,2022/11/29,302.0,311.0,300.0,311.0,311.0,780200
126,2022/11/28,303.0,303.0,300.0,302.0,302.0,527000
127,2022/11/25,304.0,306.0,302.0,303.0,303.0,421600
128,2022/11/24,303.0,307.0,302.0,302.0,302.0,462300
129,2022/11/22,304.0,308.0,302.0,304.0,304.0,428700
130,2022/11/21,313.0,313.0,302.0,304.0,304.0,774900
131,2022/11/18,314.0,316.0,308.0,313.0,313.0,674900
132,2022/11/17,308.0,313.0,306.0,313.0,313.0,364000
133,2022/11/16,312.0,314.0,308.0,309.0,309.0,490400
134,2022/11/15,314.0,318.0,309.0,315.0,315.0,716000
135,2022/11/14,308.0,318.0,308.0,314.0,314.0,844600
136,2022/11/11,311.0,316.0,308.0,311.0,311.0,714600
137,2022/11/10,301.0,314.0,299.0,308.0,308.0,992500
138,2022/11/09,297.0,308.0,296.0,302.0,302.0,769200
139,2022/11/08,293.0,299.0,293.0,297.0,297.0,383900
140,2022/11/07,298.0,298.0,291.0,295.0,295.0,875500
141,2022/11/04,299.0,300.0,296.0,297.0,297.0,678600
142,2022/11/02,300.0,301.0,299.0,300.0,300.0,292000
143,2022/11/01,303.0,304.0,299.0,302.0,302.0,612600
144,2022/10/31,302.0,304.0,300.0,301.0,301.0,555800
145,2022/10/28,301.0,304.0,300.0,300.0,300.0,416500
146,2022/10/27,305.0,305.0,300.0,301.0,301.0,200800
147,2022/10/26,304.0,307.0,301.0,301.0,301.0,476500
148,2022/10/25,303.0,307.0,301.0,301.0,301.0,693200
149,2022/10/24,301.0,303.0,298.0,303.0,303.0,420100
150,2022/10/21,303.0,304.0,301.0,304.0,304.0,215300
151,2022/10/20,304.0,306.0,301.0,302.0,302.0,403700
152,2022/10/19,305.0,307.0,303.0,307.0,307.0,233800
153,2022/10/18,303.0,307.0,303.0,304.0,304.0,269300
154,2022/10/17,301.0,307.0,298.0,302.0,302.0,452100
155,2022/10/14,300.0,304.0,300.0,303.0,303.0,325200
156,2022/10/13,301.0,301.0,298.0,298.0,298.0,582500
157,2022/10/12,303.0,304.0,300.0,300.0,300.0,447200
158,2022/10/11,301.0,303.0,300.0,300.0,300.0,436100
159,2022/10/07,306.0,309.0,301.0,301.0,301.0,756200
160,2022/10/06,305.0,310.0,305.0,306.0,306.0,406900
161,2022/10/05,307.0,312.0,303.0,307.0,307.0,526500
162,2022/10/04,307.0,311.0,304.0,307.0,307.0,590500
163,2022/10/03,305.0,307.0,300.0,305.0,305.0,772300
164,2022/09/30,302.0,312.0,301.0,311.0,311.0,807300
165,2022/09/29,306.0,311.0,304.0,309.0,309.0,669900
166,2022/09/28,305.0,314.0,299.0,300.0,300.0,965900
167,2022/09/27,302.0,306.0,302.0,305.0,305.0,410500
168,2022/09/26,302.0,305.0,300.0,302.0,302.0,560900
169,2022/09/22,299.0,308.0,298.0,307.0,307.0,758900
170,2022/09/21,313.0,313.0,300.0,302.0,302.0,947500
171,2022/09/20,301.0,312.0,298.0,311.0,311.0,1278800
172,2022/09/16,309.0,317.0,303.0,303.0,303.0,1894400
173,2022/09/15,321.0,324.0,310.0,311.0,311.0,3905200
174,2022/09/14,347.0,360.0,347.0,350.0,350.0,1188300
175,2022/09/13,352.0,360.0,346.0,354.0,354.0,1015900
176,2022/09/12,362.0,369.0,350.0,352.0,352.0,939400
177,2022/09/09,352.0,367.0,350.0,361.0,361.0,1332900
178,2022/09/08,357.0,363.0,344.0,350.0,350.0,1013300
179,2022/09/07,367.0,367.0,341.0,354.0,354.0,1749800
180,2022/09/06,353.0,367.0,351.0,365.0,365.0,1531600
181,2022/09/05,335.0,355.0,332.0,349.0,349.0,1040200
182,2022/09/02,360.0,364.0,335.0,337.0,337.0,1700700
183,2022/09/01,342.0,359.0,339.0,358.0,358.0,1269500
184,2022/08/31,333.0,345.0,332.0,344.0,344.0,596500
185,2022/08/30,332.0,338.0,328.0,338.0,338.0,544500
186,2022/08/29,331.0,338.0,330.0,330.0,330.0,825200
187,2022/08/26,342.0,351.0,338.0,340.0,340.0,1122700
188,2022/08/25,325.0,345.0,325.0,341.0,341.0,1561700
189,2022/08/24,332.0,346.0,327.0,327.0,327.0,1858500
190,2022/08/23,317.0,330.0,314.0,330.0,330.0,1111800
191,2022/08/22,314.0,322.0,314.0,319.0,319.0,986700
192,2022/08/19,320.0,322.0,314.0,317.0,317.0,1355100
193,2022/08/18,305.0,311.0,304.0,310.0,310.0,872600
194,2022/08/17,310.0,314.0,304.0,310.0,310.0,643400
195,2022/08/16,304.0,313.0,301.0,310.0,310.0,879800
196,2022/08/15,309.0,309.0,303.0,304.0,304.0,614100
197,2022/08/12,305.0,305.0,300.0,304.0,304.0,701000
198,2022/08/10,310.0,310.0,303.0,303.0,303.0,1031900
199,2022/08/09,307.0,316.0,305.0,313.0,313.0,672500
200,2022/08/08,310.0,310.0,306.0,306.0,306.0,542900
201,2022/08/05,310.0,313.0,308.0,310.0,310.0,463300
202,2022/08/04,314.0,315.0,308.0,312.0,312.0,706200
203,2022/08/03,312.0,317.0,308.0,310.0,310.0,681400
204,2022/08/02,317.0,319.0,311.0,311.0,311.0,717200
205,2022/08/01,313.0,320.0,308.0,319.0,319.0,714300
206,2022/07/29,319.0,320.0,312.0,313.0,313.0,686900
207,2022/07/28,320.0,323.0,314.0,316.0,316.0,769700
208,2022/07/27,321.0,327.0,315.0,316.0,316.0,1086400
209,2022/07/26,320.0,328.0,319.0,323.0,323.0,494300
210,2022/07/25,340.0,340.0,320.0,320.0,320.0,1449400
211,2022/07/22,329.0,341.0,324.0,337.0,337.0,1315000
212,2022/07/21,315.0,329.0,315.0,329.0,329.0,1036500
213,2022/07/20,319.0,324.0,317.0,317.0,317.0,728400
214,2022/07/19,311.0,322.0,310.0,319.0,319.0,661900
215,2022/07/15,316.0,322.0,312.0,313.0,313.0,1268400
216,2022/07/14,324.0,331.0,321.0,323.0,323.0,960800
217,2022/07/13,343.0,343.0,328.0,328.0,328.0,1377300
218,2022/07/12,335.0,355.0,333.0,342.0,342.0,2833000
219,2022/07/11,320.0,345.0,318.0,338.0,338.0,2222900
220,2022/07/08,340.0,344.0,316.0,320.0,320.0,4552200
221,2022/07/07,313.0,317.0,306.0,314.0,314.0,1046800
222,2022/07/06,301.0,309.0,300.0,305.0,305.0,491300
223,2022/07/05,300.0,308.0,299.0,302.0,302.0,403000
224,2022/07/04,302.0,305.0,298.0,304.0,304.0,606600
225,2022/07/01,310.0,311.0,297.0,302.0,302.0,1186400
226,2022/06/30,311.0,313.0,307.0,311.0,311.0,770900
227,2022/06/29,310.0,314.0,308.0,312.0,312.0,544700
228,2022/06/28,309.0,317.0,306.0,317.0,317.0,889400
229,2022/06/27,323.0,325.0,310.0,313.0,313.0,1269700
230,2022/06/24,316.0,330.0,314.0,322.0,322.0,1689000
231,2022/06/23,324.0,341.0,311.0,314.0,314.0,2976900
232,2022/06/22,310.0,310.0,299.0,303.0,303.0,728200
233,2022/06/21,295.0,310.0,291.0,306.0,306.0,1170800
234,2022/06/20,302.0,305.0,289.0,289.0,289.0,985800
235,2022/06/17,298.0,307.0,294.0,300.0,300.0,1835700
236,2022/06/16,316.0,317.0,306.0,313.0,313.0,967600
237,2022/06/15,320.0,329.0,300.0,305.0,305.0,2963900
238,2022/06/14,325.0,342.0,319.0,335.0,335.0,1480400
239,2022/06/13,348.0,355.0,326.0,329.0,329.0,1968000
240,2022/06/10,348.0,353.0,336.0,341.0,341.0,1004000
241,2022/06/09,336.0,356.0,335.0,349.0,349.0,1042600
242,2022/06/08,334.0,341.0,330.0,338.0,338.0,731000
243,2022/06/07,337.0,339.0,329.0,331.0,331.0,681900
244,2022/06/06,343.0,345.0,335.0,338.0,338.0,780300
245,2022/06/03,335.0,344.0,335.0,344.0,344.0,950200
246,2022/06/02,339.0,342.0,332.0,333.0,333.0,1126900
247,2022/06/01,359.0,382.0,344.0,346.0,346.0,3015400
248,2022/05/31,356.0,365.0,347.0,355.0,355.0,1356200
249,2022/05/30,370.0,375.0,343.0,354.0,354.0,2836500
250,2022/05/27,329.0,357.0,325.0,357.0,357.0,1666400
251,2022/05/26,318.0,329.0,317.0,324.0,324.0,914500
252,2022/05/25,339.0,339.0,313.0,314.0,314.0,1823700
253,2022/05/24,347.0,367.0,334.0,337.0,337.0,2752700
254,2022/05/23,342.0,348.0,335.0,344.0,344.0,746300
255,2022/05/20,331.0,345.0,325.0,339.0,339.0,783000
256,2022/05/19,317.0,335.0,316.0,331.0,331.0,772700
257,2022/05/18,311.0,332.0,311.0,324.0,324.0,1035900
258,2022/05/17,320.0,322.0,308.0,311.0,311.0,693500
259,2022/05/16,331.0,334.0,319.0,319.0,319.0,465200
260,2022/05/13,308.0,327.0,308.0,320.0,320.0,549100
261,2022/05/12,320.0,321.0,306.0,308.0,308.0,811200
262,2022/05/11,316.0,333.0,316.0,326.0,326.0,463700
263,2022/05/10,322.0,325.0,312.0,321.0,321.0,913600
264,2022/05/09,338.0,341.0,321.0,325.0,325.0,995200
265,2022/05/06,337.0,346.0,335.0,342.0,342.0,400300
266,2022/05/02,343.0,348.0,337.0,337.0,337.0,580200
267,2022/04/28,358.0,368.0,345.0,346.0,346.0,681900
268,2022/04/27,349.0,355.0,343.0,352.0,352.0,683100
269,2022/04/26,358.0,361.0,344.0,357.0,357.0,567300
270,2022/04/25,340.0,357.0,340.0,352.0,352.0,753200
271,2022/04/22,356.0,359.0,344.0,350.0,350.0,766300
272,2022/04/21,360.0,363.0,353.0,358.0,358.0,412600
273,2022/04/20,360.0,361.0,351.0,361.0,361.0,617800
274,2022/04/19,359.0,363.0,353.0,355.0,355.0,588900
275,2022/04/18,375.0,380.0,360.0,362.0,362.0,915300
276,2022/04/15,366.0,379.0,366.0,371.0,371.0,593600
277,2022/04/14,365.0,376.0,356.0,373.0,373.0,906300
278,2022/04/13,340.0,364.0,340.0,364.0,364.0,1034300
279,2022/04/12,328.0,356.0,328.0,345.0,345.0,1696200
280,2022/04/11,359.0,362.0,335.0,344.0,344.0,1680600
281,2022/04/08,381.0,382.0,366.0,367.0,367.0,983900
282,2022/04/07,372.0,382.0,367.0,376.0,376.0,1489700
283,2022/04/06,385.0,410.0,369.0,378.0,378.0,6142800
284,2022/04/05,382.0,393.0,360.0,361.0,361.0,5248500
285,2022/04/04,329.0,406.0,315.0,398.0,398.0,8099800
286,2022/04/01,322.0,326.0,313.0,326.0,326.0,1018800
287,2022/03/31,318.0,333.0,315.0,327.0,327.0,1561200
288,2022/03/30,308.0,319.0,303.0,315.0,315.0,1370200
289,2022/03/29,303.0,310.0,301.0,303.0,303.0,990000
290,2022/03/28,309.0,309.0,295.0,295.0,295.0,1337400
291,2022/03/25,331.0,332.0,304.0,310.0,310.0,1911600
292,2022/03/24,307.0,327.0,307.0,324.0,324.0,1874200
293,2022/03/23,292.0,308.0,292.0,303.0,303.0,1608200
294,2022/03/22,290.0,299.0,279.0,288.0,288.0,2287900
295,2022/03/18,286.0,320.0,286.0,303.0,303.0,3658300
296,2022/03/17,282.0,283.0,271.0,283.0,283.0,2703600
297,2022/03/16,298.0,309.0,274.0,274.0,274.0,6243700
298,2022/03/15,345.0,358.0,333.0,354.0,354.0,1417100
299,2022/03/14,345.0,356.0,339.0,348.0,348.0,789400
300,2022/03/11,345.0,352.0,341.0,345.0,345.0,651800
301,2022/03/10,340.0,352.0,338.0,346.0,346.0,966400
302,2022/03/09,352.0,355.0,323.0,332.0,332.0,2187600
303,2022/03/08,345.0,365.0,344.0,344.0,344.0,1417900
304,2022/03/07,356.0,363.0,343.0,352.0,352.0,1648300
305,2022/03/04,378.0,378.0,355.0,360.0,360.0,1524800
306,2022/03/03,392.0,395.0,374.0,377.0,377.0,860800
307,2022/03/02,383.0,389.0,373.0,381.0,381.0,1343100
308,2022/03/01,371.0,391.0,371.0,380.0,380.0,1065500
309,2022/02/28,361.0,364.0,348.0,361.0,361.0,1220800
310,2022/02/25,350.0,366.0,349.0,361.0,361.0,1418500
311,2022/02/24,354.0,362.0,335.0,340.0,340.0,1838200
312,2022/02/22,362.0,368.0,350.0,354.0,354.0,1518300
313,2022/02/21,363.0,380.0,357.0,372.0,372.0,1168400
314,2022/02/18,370.0,383.0,367.0,377.0,377.0,994300
315,2022/02/17,396.0,397.0,377.0,382.0,382.0,1306500
316,2022/02/16,395.0,405.0,388.0,400.0,400.0,1847700
317,2022/02/15,405.0,406.0,373.0,380.0,380.0,2645900
318,2022/02/14,402.0,411.0,399.0,405.0,405.0,1111200
319,2022/02/10,420.0,429.0,412.0,418.0,418.0,1031400
320,2022/02/09,420.0,424.0,401.0,421.0,421.0,1535900
321,2022/02/08,426.0,426.0,413.0,414.0,414.0,1025800
322,2022/02/07,438.0,447.0,414.0,422.0,422.0,1466400
323,2022/02/04,431.0,445.0,430.0,431.0,431.0,1149800
324,2022/02/03,432.0,439.0,421.0,429.0,429.0,1384200
325,2022/02/02,456.0,465.0,442.0,443.0,443.0,1779800
326,2022/02/01,447.0,462.0,446.0,451.0,451.0,1613400
327,2022/01/31,420.0,448.0,420.0,433.0,433.0,1979400
328,2022/01/28,426.0,437.0,410.0,423.0,423.0,2952200
329,2022/01/27,472.0,475.0,414.0,421.0,421.0,4105300
330,2022/01/26,440.0,471.0,440.0,458.0,458.0,3646000
331,2022/01/25,439.0,455.0,425.0,432.0,432.0,3855100
332,2022/01/24,442.0,456.0,406.0,442.0,442.0,5156500
333,2022/01/21,491.0,511.0,460.0,466.0,466.0,4731800
334,2022/01/20,525.0,531.0,470.0,492.0,492.0,5900200
335,2022/01/19,538.0,558.0,523.0,531.0,531.0,3786200
336,2022/01/18,525.0,564.0,509.0,547.0,547.0,4434200
337,2022/01/17,584.0,590.0,506.0,515.0,515.0,6241500
338,2022/01/14,542.0,581.0,534.0,574.0,574.0,5383800
339,2022/01/13,513.0,555.0,509.0,544.0,544.0,4534300
340,2022/01/12,497.0,535.0,482.0,523.0,523.0,5202800
341,2022/01/11,500.0,527.0,472.0,493.0,493.0,4012000
342,2022/01/07,587.0,587.0,481.0,520.0,520.0,9116300
343,2022/01/06,598.0,634.0,560.0,578.0,578.0,9611300
344,2022/01/05,550.0,643.0,539.0,617.0,617.0,12319700
345,2022/01/04,554.0,567.0,515.0,556.0,556.0,6617800
346,2021/12/30,580.0,589.0,500.0,524.0,524.0,10299100
347,2021/12/29,500.0,567.0,490.0,567.0,567.0,8064500
348,2021/12/28,595.0,607.0,487.0,487.0,487.0,13039200
349,2021/12/27,535.0,593.0,531.0,587.0,587.0,11136500
350,2021/12/24,501.0,568.0,473.0,540.0,540.0,10803400
351,2021/12/23,473.0,521.0,468.0,517.0,517.0,9519300
352,2021/12/22,443.0,466.0,430.0,466.0,466.0,5880400
353,2021/12/21,420.0,435.0,407.0,435.0,435.0,4938900
354,2021/12/20,378.0,424.0,378.0,411.0,411.0,6410400
355,2021/12/17,356.0,379.0,344.0,379.0,379.0,5308900
356,2021/12/16,330.0,367.0,330.0,359.0,359.0,4375400
357,2021/12/15,290.0,330.0,288.0,330.0,330.0,3595100
358,2021/12/14,309.0,318.0,304.0,312.0,312.0,1759600
359,2021/12/13,322.0,331.0,305.0,311.0,311.0,1706400
360,2021/12/10,359.0,362.0,314.0,323.0,323.0,4741600
361,2021/12/09,348.0,363.0,348.0,360.0,360.0,2355600
362,2021/12/08,337.0,355.0,336.0,347.0,347.0,2473200
363,2021/12/07,338.0,347.0,327.0,334.0,334.0,1805600
364,2021/12/06,343.0,358.0,333.0,341.0,341.0,2130200
365,2021/12/03,332.0,355.0,319.0,354.0,354.0,3301800
366,2021/12/02,316.0,339.0,316.0,333.0,333.0,2589000
367,2021/12/01,339.0,343.0,316.0,318.0,318.0,3685500
368,2021/11/30,338.0,373.0,337.0,339.0,339.0,5162000
369,2021/11/29,335.0,350.0,327.0,327.0,327.0,1908400
370,2021/11/26,333.0,348.0,327.0,347.0,347.0,1926100
371,2021/11/25,328.0,339.0,321.0,330.0,330.0,1576100
372,2021/11/24,344.0,344.0,322.0,335.0,335.0,2674800
373,2021/11/22,354.0,364.0,348.0,352.0,352.0,2262500
374,2021/11/19,340.0,355.0,336.0,355.0,355.0,2473600
375,2021/11/18,331.0,342.0,326.0,339.0,339.0,2047700
376,2021/11/17,322.0,334.0,319.0,334.0,334.0,1856600
377,2021/11/16,312.0,323.0,306.0,323.0,323.0,1834300
378,2021/11/15,300.0,308.0,297.0,304.0,304.0,1125800
379,2021/11/12,290.0,299.0,287.0,298.0,298.0,920700
380,2021/11/11,287.0,290.0,281.0,288.0,288.0,1131300
381,2021/11/10,300.0,305.0,287.0,291.0,291.0,2497600
382,2021/11/09,285.0,290.0,281.0,287.0,287.0,604800
383,2021/11/08,286.0,287.0,276.0,281.0,281.0,1377400
384,2021/11/05,297.0,298.0,288.0,292.0,292.0,929600
385,2021/11/04,302.0,309.0,295.0,300.0,300.0,825400
386,2021/11/02,300.0,313.0,296.0,302.0,302.0,1627000
387,2021/11/01,289.0,298.0,289.0,295.0,295.0,741400
388,2021/10/29,293.0,295.0,285.0,290.0,290.0,1183900
389,2021/10/28,299.0,308.0,295.0,296.0,296.0,1137700
390,2021/10/27,292.0,303.0,287.0,303.0,303.0,1098200
391,2021/10/26,290.0,301.0,287.0,295.0,295.0,1662900
392,2021/10/25,274.0,292.0,270.0,286.0,286.0,2134200
393,2021/10/22,273.0,281.0,269.0,276.0,276.0,1648400
394,2021/10/21,282.0,283.0,272.0,275.0,275.0,2876500
395,2021/10/20,296.0,297.0,286.0,286.0,286.0,2881300
396,2021/10/19,306.0,314.0,298.0,300.0,300.0,2640100
397,2021/10/18,316.0,318.0,301.0,310.0,310.0,3070500
398,2021/10/15,343.0,343.0,305.0,316.0,316.0,7847000
399,2021/10/14,360.0,364.0,330.0,333.0,333.0,8753100
400,2021/10/13,361.0,385.0,341.0,352.0,352.0,20548300
401,2021/10/12,358.0,368.0,325.0,329.0,329.0,10666400
402,2021/10/11,301.0,382.0,297.0,382.0,382.0,8891300
403,2021/10/08,297.0,302.0,294.0,302.0,302.0,941800
404,2021/10/07,296.0,301.0,288.0,298.0,298.0,1027800
405,2021/10/06,301.0,305.0,292.0,304.0,304.0,1299000
406,2021/10/05,289.0,302.0,284.0,299.0,299.0,1594800
407,2021/10/04,321.0,322.0,287.0,297.0,297.0,2984300
408,2021/10/01,299.0,314.0,296.0,313.0,313.0,1816800
409,2021/09/30,314.0,319.0,301.0,304.0,304.0,2157900
410,2021/09/29,285.0,316.0,278.0,316.0,316.0,3322200
411,2021/09/28,302.0,325.0,282.0,287.0,287.0,5715900
412,2021/09/27,282.0,303.0,278.0,291.0,291.0,3593000
413,2021/09/24,257.0,287.0,253.0,285.0,285.0,4121000
414,2021/09/22,262.0,262.0,247.0,250.0,250.0,1909400
415,2021/09/21,255.0,263.0,254.0,260.0,260.0,579400
416,2021/09/17,254.0,263.0,254.0,263.0,263.0,386600
417,2021/09/16,266.0,270.0,254.0,254.0,254.0,1076300
418,2021/09/15,265.0,271.0,258.0,266.0,266.0,990300
419,2021/09/14,266.0,267.0,262.0,267.0,267.0,543000
420,2021/09/13,266.0,269.0,263.0,266.0,266.0,342400
421,2021/09/10,266.0,269.0,262.0,266.0,266.0,236100
422,2021/09/09,265.0,272.0,262.0,264.0,264.0,392600
423,2021/09/08,277.0,279.0,261.0,266.0,266.0,1417800
424,2021/09/07,267.0,274.0,265.0,267.0,267.0,410400
425,2021/09/06,274.0,274.0,264.0,267.0,267.0,334100
426,2021/09/03,271.0,275.0,266.0,270.0,270.0,300200
427,2021/09/02,275.0,275.0,269.0,270.0,270.0,399700
428,2021/09/01,273.0,279.0,267.0,279.0,279.0,379900
